movieId,title,genres,release_year,weighted_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,3.9040804145203247
2,Jumanji (1995),Adventure|Children|Fantasy,1995,3.437092544979434
3,Grumpier Old Men (1995),Comedy|Romance,1995,3.295311686107421
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,3.000875803284541
5,Father of the Bride Part II (1995),Comedy,1995,3.1381726353888397
6,Heat (1995),Action|Crime|Thriller,1995,3.9100361518247984
7,Sabrina (1995),Comedy|Romance,1995,3.2303811563897247
8,Tom and Huck (1995),Adventure|Children,1995,3.2067066383854503
9,Sudden Death (1995),Action,1995,3.260560514102106
10,GoldenEye (1995),Action|Adventure|Thriller,1995,3.496553282642217
11,"American President, The (1995)",Comedy|Drama|Romance,1995,3.652076112057628
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,2.7683576018768803
13,Balto (1995),Adventure|Animation|Children,1995,3.32435369720898
14,Nixon (1995),Drama,1995,3.7227412167612095
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,3.205182402388757
16,Casino (1995),Crime|Drama,1995,3.884769372006073
17,Sense and Sensibility (1995),Drama|Romance,1995,3.743605432270429
18,Four Rooms (1995),Comedy,1995,3.6384142362949192
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,2.7991135345623985
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,2.8755838688563604
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,3.495040947475027
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,3.2780891745011704
23,Assassins (1995),Action|Crime|Thriller,1995,3.260560514102106
24,Powder (1995),Drama|Sci-Fi,1995,3.2165949419608824
25,Leaving Las Vegas (1995),Drama|Romance,1995,3.611929562971208
26,Othello (1995),Drama,1995,3.5006369478433026
27,Now and Then (1995),Children|Drama,1995,3.4174451584751475
28,Persuasion (1995),Drama|Romance,1995,3.900700642627633
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,3.9151917628202697
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,3.3761677377127213
31,Dangerous Minds (1995),Drama,1995,3.2449789968628227
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,3.9597527572717888
34,Babe (1995),Children|Drama,1995,3.642438050018632
